index:ID,types,:LABEL
20000,奇幻,type
20001,脱口秀,type
20002,同性,type
20003,舞台艺术,type
20004,武侠,type
20005,儿童,type
20006,鬼怪,type
20007,冒险,type
20008,音乐,type
20009,恐怖,type
20010,情色,type
20011,剧情,type
20012,犯罪,type
20013,战争,type
20014,传记,type
20015,家庭,type
20016,灾难,type
20017,动作,type
20018,历史,type
20019,爱情,type
20020,科幻,type
20021,悬疑,type
20022,暂无信息,type
20023,动画,type
20024,真人秀,type
20025,古装,type
20026,荒诞,type
20027,黑色电影,type
20028,西部,type
20029,喜剧,type
20030,运动,type
20031,歌舞,type
20032,惊悚,type
20033,戏曲,type
